,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-19 09:30:00-04:00,122.16000366210938,124.43000030517578,121.80000305175781,123.54000091552734,11155870,0,0
2022-09-19 10:30:00-04:00,123.52999877929688,124.47000122070312,123.16000366210938,123.45500183105469,6303512,0,0
2022-09-19 11:30:00-04:00,123.44000244140625,123.66999816894531,122.97000122070312,123.12000274658203,4314795,0,0
2022-09-19 12:30:00-04:00,123.12000274658203,123.97000122070312,123.05000305175781,123.94999694824219,4249788,0,0
2022-09-19 13:30:00-04:00,123.94999694824219,123.95989990234375,123.06999969482422,123.33000183105469,4241721,0,0
2022-09-19 14:30:00-04:00,123.33000183105469,124.50499725341797,123.17500305175781,124.3499984741211,6198054,0,0
2022-09-19 15:30:00-04:00,124.33999633789062,124.70999908447266,124.06999969482422,124.68000030517578,4760181,0,0
2022-09-20 09:30:00-04:00,123.3499984741211,124.19499969482422,122.70249938964844,123.5199966430664,9868451,0,0
2022-09-20 10:30:00-04:00,123.51000213623047,124.39630126953125,123.01000213623047,123.90499877929688,6241537,0,0
2022-09-20 11:30:00-04:00,123.90499877929688,124.20500183105469,123.28240203857422,123.34500122070312,4662919,0,0
2022-09-20 12:30:00-04:00,123.3301010131836,123.38999938964844,122.05000305175781,122.05999755859375,4581848,0,0
2022-09-20 13:30:00-04:00,122.05000305175781,122.05000305175781,121.13999938964844,121.55999755859375,6156769,0,0
2022-09-20 14:30:00-04:00,121.55000305175781,122.4000015258789,121.27999877929688,122.20999908447266,5771825,0,0
2022-09-20 15:30:00-04:00,122.22000122070312,122.63999938964844,121.91999816894531,122.19499969482422,5533206,0,0
2022-09-21 09:30:00-04:00,122.48999786376953,122.80000305175781,121.77999877929688,122.5,8658646,0,0
2022-09-21 10:30:00-04:00,122.5199966430664,122.58000183105469,121.8499984741211,122.5199966430664,3831487,0,0
2022-09-21 11:30:00-04:00,122.51499938964844,122.6500015258789,122.11000061035156,122.5,3020030,0,0
2022-09-21 12:30:00-04:00,122.5,122.79000091552734,121.97000122070312,122.20999908447266,3434658,0,0
2022-09-21 13:30:00-04:00,122.21810150146484,122.55999755859375,119.18000030517578,120.52999877929688,10594414,0,0
2022-09-21 14:30:00-04:00,120.5,123.76000213623047,120.02999877929688,120.4000015258789,13223721,0,0
2022-09-21 15:30:00-04:00,120.38999938964844,120.47000122070312,118.44999694824219,118.48999786376953,9201631,0,0
2022-09-22 09:30:00-04:00,117.75,118.47000122070312,116.7699966430664,117.31999969482422,14382431,0,0
2022-09-22 10:30:00-04:00,117.30999755859375,117.7177963256836,116.45999908447266,116.67369842529297,7362070,0,0
2022-09-22 11:30:00-04:00,116.68000030517578,117.19999694824219,116.33999633789062,116.8499984741211,6143606,0,0
2022-09-22 12:30:00-04:00,116.84020233154297,117.23999786376953,116.26000213623047,116.72149658203125,4549208,0,0
2022-09-22 13:30:00-04:00,116.72000122070312,117.31500244140625,116.33000183105469,116.552001953125,4731122,0,0
2022-09-22 14:30:00-04:00,116.55000305175781,118.20500183105469,116.44999694824219,117.88990020751953,6361200,0,0
2022-09-22 15:30:00-04:00,117.88999938964844,118.79000091552734,117.23999786376953,117.2699966430664,6530120,0,0
2022-09-23 09:30:00-04:00,116.0,116.05000305175781,113.2300033569336,114.52999877929688,20712835,0,0
2022-09-23 10:30:00-04:00,114.52999877929688,115.0,113.91000366210938,114.4000015258789,7401500,0,0
2022-09-23 11:30:00-04:00,114.41000366210938,114.84989929199219,113.58000183105469,113.5999984741211,5519173,0,0
